,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200
1360,SVFYX,Smead Value Fund Class Y,41.47,-2.03,-0.86,52.22,30.77,38.710587,44.643677
1361,DTSVX,Wilshire Small Company Value Portfolio Investment Class Shares,16.14,-2.89,-0.479999,22.04,11.78,14.613529,18.26044
1362,JMCEX,JPMorgan Mid Cap Equity Fund Class R2,45.47,-0.72,-0.330003,51.79,31.92,42.06853,45.28794
1363,JUESX,JPMorgan U.S. Equity Fund Class I,15.9,-0.13,-0.02,17.3,11.52,15.019117,15.568897
1364,LVOLX,SGI U.S. Large Cap Equity Fund Class A,17.34,0.99,0.17,19.66,13.5,16.715588,17.717205
1365,CIPMX,Champlain Mid Cap Fund Advisor Class,20.25,0.25,0.05,21.13,13.98,18.378824,19.12625
1366,NELAX,Nuveen Equity Long/Short Fund Class A,38.01,-0.6,-0.229998,42.17,31.38,36.658234,38.81831
1367,DPDEX,Macquarie Pooled Trust Large Cap Value Portfolio,14.92,0.2,0.03,25.47,11.09,14.059117,17.068382
1368,TESIX,Franklin Mutual Shares Fund Class A,21.62,-0.92,-0.200002,28.45,16.82,20.591764,24.208382
1369,DDDCX,13D Activist Fund Class C,18.34,-1.93,-0.36,22.09,12.28,16.67853,19.004265
1370,FFFDX,Fidelity Freedom 2020 Fund,15.06,0.0,0.0,16.89,13.26,14.805588,15.605074
1371,FSMDX,Fidelity Mid Cap Index Fund,21.01,-0.47,-0.1,24.56,14.65,19.358824,21.48375
1372,SBACX,Touchstone Balanced Fund Class C,21.28,-0.23,-0.05,23.54,17.34,20.444412,21.12375
1373,SGIDX,Crossmark Steward Global Equity Income Fund Class A,27.26,-0.58,-0.16,33.79,20.8,25.81206,29.153088
1374,CTHCX,Columbia Global Technology Growth Fund Class C,37.07,-0.24,-0.09,39.17,27.2,34.786472,34.52559
1375,RRTVX,T. Rowe Price Retirement 2055 Fund Class R,14.49,0.0,0.0,16.37,10.94,13.627353,14.703676
